occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Somniosus microcephalus","Somniosus microcephalus (Bloch & Schneider, 1801)","2421162","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Elasmobranchii","Squaliformes","Somniosidae","Somniosus","Somniosus microcephalus","Somniosus microcephalus","(Bloch & Schneider, 1801) ","2421162",
,"Elephas maximus","Elephas maximus Linnaeus, 1758","5219461","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","Elephas maximus","Elephas maximus","Linnaeus, 1758","5219461",
,"Oligochaeta",,,"NONE","100",,,,,,,,,,,,,
,"Acanthamoeba castellanii","Acanthamoeba castellanii (Douglas, 1930)","5425243","EXACT","99","ACCEPTED","SPECIES","Protozoa","Amoebozoa","Lobosa","Amoebida","Acanthamoebidae","Acanthamoeba","Acanthamoeba castellanii","Acanthamoeba castellanii","(Douglas, 1930) ","5425243",
,"Leontopithecus rosalia","Leontopithecus rosalia (Linnaeus, 1766)","2436482","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Primates","Callitrichidae","Leontopithecus","Leontopithecus rosalia","Leontopithecus rosalia","(Linnaeus, 1766) ","2436482",
,"bl�ksprutter",,,"NONE","100",,,,,,,,,,,,,
,"Scyposoa",,,"NONE","100",,,,,,,,,,,,,
,"Trematoda","Trematoda","345","EXACT","94","ACCEPTED","CLASS","Animalia","Platyhelminthes","Trematoda",,,,,"Trematoda",,"345",
,"Cubozoa","Cubozoa","176","EXACT","94","ACCEPTED","CLASS","Animalia","Cnidaria","Cubozoa",,,,,"Cubozoa",,"176",
,"Lissotriton vulgaris","Lissotriton vulgaris (Linnaeus, 1758)","5218405","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Lissotriton","Lissotriton vulgaris","Lissotriton vulgaris","(Linnaeus, 1758) ","5218405",
,"felis catus","Felis catus Linnaeus, 1758","2435035","EXACT","98","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus","Felis catus","Linnaeus, 1758","2435035",
,"Rincodon typus",,,"NONE","100",,,,,,,,,,,,,
,"Solanum dulcamara","Solanum dulcamara L.","2932737","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum dulcamara","Solanum dulcamara","L.","2932737",
,"Odontodactylus scyllarus","Odontodactylus scyllarus (Linnaeus, 1758)","4316608","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Stomatopoda","Odontodactylidae","Odontodactylus","Odontodactylus scyllarus","Odontodactylus scyllarus","(Linnaeus, 1758) ","4316608",
,"tradigrader",,,"NONE","100",,,,,,,,,,,,,
,"Cnidaria ??????","Cnidaria","43","EXACT","94","ACCEPTED","PHYLUM","Animalia","Cnidaria",,,,,,"Cnidaria",,"43",
,"Aurelia",,,"NONE","100",,,,,,,,,,,,,
,"Propithecus verreauxi","Propithecus verreauxi Grandidier, 1867","5219530","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Primates","Indriidae","Propithecus","Propithecus verreauxi","Propithecus verreauxi","Grandidier, 1867","5219530",
,"Costasiella kuroshimae","Costasiella kuroshimae Ichikawa, 1993","5859288","EXACT","99","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Costasiellidae","Costasiella","Costasiella kuroshimae","Costasiella kuroshimae","Ichikawa, 1993","5859288",
,"Meligethes aeneus","Meligethes aeneus (Fabricius, 1775)","5877732","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Nitidulidae","Brassicogethes","Brassicogethes aeneus","Meligethes aeneus","(Fabricius, 1775) ","5877732","4452928"
,"Quercus robur","Quercus robur L.","2878688","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus robur","Quercus robur","L.","2878688",
,"Panthera pardus","Panthera pardus (Linnaeus, 1758)","5219436","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera pardus","Panthera pardus","(Linnaeus, 1758) ","5219436",
,"Cebus capucinus","Cebus capucinus (Linnaeus, 1758)","2436637","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Primates","Cebidae","Cebus","Cebus capucinus","Cebus capucinus","(Linnaeus, 1758) ","2436637",
,"Phascolarctos cinereus","Phascolarctos cinereus (Goldfuss, 1817)","2440012","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","Phascolarctos cinereus","Phascolarctos cinereus","(Goldfuss, 1817) ","2440012",
,"Felis catus","Felis catus Linnaeus, 1758","2435035","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus","Felis catus","Linnaeus, 1758","2435035",
